	End of trend	RSI	Divergence	Number of bounces	Trend length before(bars)	Currency Pair	Direction	Entry Time-frame	Reversed	Trend length after (bars)	Ranging
0	23/04/2008 03:00	60.0	True	2	53	EUR/USD	up	D	True	132.0	False
1	06/05/2008 03:00	39.0	False	0	7	EUR/USD	down (within uptrend)	D	False		False
2	27/05/2008 03:00	54.0	False	0	5	EUR/USD	up	D	True	6.0	True
3	05/06/2008 03:00	42.0	False	0	6	EUR/USD	down	D	False		True
4	16/06/2008 03:00	43.0	False	0	4	EUR/USD	down	D	True	20.0	True
5	15/07/2008 03:00	61.0	False	0	20	EUR/USD	up	D	True	41.0	True
6	13/08/2008 03:00	20.6	False	0	17	EUR/USD	down	D	False		False
7	12/9/2008 03:00	17.0	False	2	43	EUR/USD	down	D	True	8.0	False
8	23/9/2008 03:00	58.0	False	0	6	EUR/USD	up (within downtrend)	D	True	24.0	False
9	28/10/2008 03:00	20.6	True	5	70	EUR/USD	down	D	True	36.0	False
10	19/12/2008 03:00	77.0	False	0	13	EUR/USD	up	D	True	42.0	False
11	05/03/2009 03:00	41.0	True	0	56	EUR/USD	down	D	True	189.0	False
12	20/03/2009 03:00	72.0	False	0	11	EUR/USD	up	D	True	20.0	False
13	22/04/2009 03:00	42.0	False	0	22	EUR/USD	down (within uptrend)	D	True	156.0	False
14	04/06/2009 03:00	72.0	False	1	30	EUR/USD	up	D	False		False
15	17/06/2009 03:00	48.0	False	0	2	EUR/USD	down	D	False		True
16	02/07/2009 03:00	52.0	False	0	6	EUR/USD	up	D	False		True
17	09/07/2009 03:00	47.0	False	0	5	EUR/USD	down	D	True	17.0	True
18	05/08/2009 03:00	64.0	True	2	75	EUR/USD	up	D	False		False
19	24/09/2009 03:00	72.0	False	3	109	EUR/USD	up	D	True	6.0	False
20	1/12/2009 03:00	62.0	True	5	160	EUR/USD	up	D	True	134.0	False
21	23/12/2009 03:00	26.0	False	0	15	EUR/USD	down	D	False		False
22	13/01/2010 03:00	50.0	False	0	14	EUR/USD	up (within downtrend)	D	True	103.0	False
23	02/02/2010 03:00	27.0	False	1	43	EUR/USD	down	D	False		False
24	20/05/2010 03:00	23.0	False	5	118	EUR/USD	down	D	False		False
25	08/06/2010 03:00	30.0	True	6	132	EUR/USD	down	D	True	232.0	False
26	19/07/2010 03:00	71.0	False	0	28	EUR/USD	up	D	False		False
27	10/08/2010 03:00	72.0	False	2	44	EUR/USD	up	D	True	11.0	False
28	05/11/2010 03:00	66.0	True	8	40	EUR/USD	up	D	True	46.0	False
29	01/12/2010 03:00	27.0	True	0	17	EUR/USD	down	D	False		False
30	06/12/2010 03:00	45.0	True	0	2	EUR/USD	up	D	False		True
31	04/01/2011 03:00	56.0	True	0	3	EUR/USD	up	D	True	4.0	True
32	11/01/2011 03:00	38.0	True	1	48	EUR/USD	down	D	True	79.0	True
33	11/03/2011 03:00	55.0	False	0	3	EUR/USD	down (within uptrend)	D	True	33.0	False
34	23/03/2011 03:00	67.0	False	0	51	EUR/USD	up	D	False		False
35	02/05/2011 03:00	73.0	True	2	78	EUR/USD	up	D	True	316.0	False
36	17/06/2011 03:00	43.0	False	0	5	EUR/USD	down	D	True	10.0	True
37	05/07/2011 03:00	57.0	False	0	5	EUR/USD	up	D	True	6.0	True
38	28/07/2011 03:00	52.0	False	0	9	EUR/USD	up	D	False	5.0	True
39	30/08/2011 03:00	55.0	False	0	15	EUR/USD	up	D	True	24.0	True
40	13/09/2011 03:00	29.0	False	0	8	EUR/USD	down	D	False		False
41	05/10/2011 03:00	28.0	False	2	24	EUR/USD	down	D	True	17.0	False
42	31/10/2011 03:00	67.0	False	0	17	EUR/USD	up	D	True	55.0	False
43	17/01/2012 03:00	33.0	True	2	55	EUR/USD	down	D	True	31.0	False
44	31/01/2012 03:00	63.0	False	0	9	EUR/USD	up	D	False		False
45	16/02/2012 03:00	49.0	False	0	3	EUR/USD	down (within uptrend)	D	True	6.0	False
46	29/02/2012 03:00	57.0	False	0	12	EUR/USD	up	D	True	10.0	True
47	16/03/2012 03:00	44.0	False	0	10	EUR/USD	down	D	True	6.0	True
48	09/04/2012 03:00	42.0	False	0	4	EUR/USD	down	D	False		True
49	25/07/2012 03:00	29.0	True	2	62	EUR/USD	down	D	True	136.0	False
50	18/09/2012 03:00	76.0	False	1	36	EUR/USD	up	D	True	37.0	False
51	14/11/2012 03:00	34.0	False	0	17	EUR/USD	down (within uptrend)	D	True	56.0	False
52	06/12/2012 03:00	68.0	False	0	16	EUR/USD	up	D	True	3.0	False
53	07/01/2013 03:00	46.0	False	0	35	EUR/USD	down (within uptrend)	D	True	19.0	False
54	04/02/2013 03:00	75.0	False	2	55	EUR/USD	up	D	True	37.0	False
55	28/03/2013 03:00	36.0	True	1	37	EUR/USD	down	D	True	12.0	False
56	10/07/2013 03:00	32.0	False	0	13	EUR/USD	down	D	True	20.0	True
57	22/08/2013 03:00	57.0	False	0	30	EUR/USD	up	D	True	10.0	False
58	06/09/2013 03:00	38.0	False	0	6	EUR/USD	down (within uptrend)	D	True	33.0	False
59	28/10/2013 03:00	73.0	False	2	34	EUR/USD	up	D	True	9.0	False
60	17/03/2015 03:00	25.0	False	8	217	EUR/USD	down	D	True	8.0	False
61	18/05/2015 03:00	68.0	True	1	23	EUR/USD	up	D	True	7.0	True
62	27/05/2015 03:00	40.0	False	0	7	EUR/USD	down	D	True	16.0	True
63	23/06/2015 03:00	59.0	False	0	15	EUR/USD	up	D	True	18.0	True
64	21/07/2015 03:00	39.0	False	0	20	EUR/USD	down	D	True	25.0	True
65	02/12/2015 03:00	29.0	True	2	32	EUR/USD	down	D	True	107.0	False
66	25/10/2016 03:00	28.0	False	0	46	EUR/USD	down	D	True	9.0	False
67	07/11/2016 03:00	59.0	False	0	9	EUR/USD	up (within downtrend)	D	True	13.0	False
68	25/11/2016 03:00	24.0	False	1	13	EUR/USD	down	D	True	7.0	False
69	21/12/2016 03:00	57.0	True	2	32	EUR/USD	down	D	True	178.0	False
70	11/04/2017 03:00	43.0	False	0	9	EUR/USD	down (within uptrend)	D	True	98.0	False
71	12/05/2017 03:00	54.0	False	0	3	EUR/USD	down (within uptrend)	D	True	86.0	False
72	21/06/2017 03:00	51.0	False	3	11	EUR/USD	down (within uptrend)	D	True	47.0	False
73	12/05/2009 03:00	28.0	False	0	43	USD/CAD	down	D	False	4.0	False
74	18/05/2009 03:00	41.0	False	1	4	USD/CAD	up (within downtrend)	D	True	10.0	False
75	03/06/2009 03:00	26.0	False	2	59	USD/CAD	down	D	True	25.0	False
76	16/10/2009 03:00	28.0	False	0	8	USD/CAD	down	D	True	8.0	False
77	18/01/2010 03:00	39.0	False	0	20	USD/CAD	down	D	True	9.0	True
78	03/05/2011 03:00	30.0	False	1	172	USD/CAD	down	D	True	10.0	False
79	27/07/2011 03:00	39.0	True	2	230	USD/CAD	down	D	True	48.0	False
80	27/11/2014 03:00	49.0	False	0	10	USD/CAD	down (within uptrend)	D	True	47.0	False
81	26/07/2017 03:00	20.0	False	4	55	USD/CAD	down	D	True	11.0	False
82	16/08/2017 03:00	45.0	False	5	12	USD/CAD	up (within downtrend)	D	True	16.0	False
83	12/09/2017 03:00	27.0	True	6	91	USD/CAD	down	D	True	35.0	False
84	08/06/2010 03:00	32.0	True	2	25	AUD/USD	down	D	True	95.0	False
85	04/06/2012 03:00	31.0	True	2	65	AUD/USD	down	D	True	44.0	False
